pack_id,scenario_id,event_id,event_type,confidence,evidence_refs,notes,escalation_required,review_status,primary_human_confirmation,review_boundary
s01-path-001,S01,E001,evidence_gap,medium,"initial_state/case.md,A001,D001","Initial explicit-approval evidence was absent, but later approver approval resolved the gap before payment preparation. Treat as initial/pre-resolution evidence gap only, not final coordination failure. Primary human reviewer accepted this only as initial/pre-resolution missing approval, not as final coordination failure.",true,accepted,confirmed,human_evidence_review_observation_only
s02-path-001,S02,E001,evidence_gap,high,"initial_state/case.md,A001,D001",Explicit approval remains absent after approver response; buyer handoff and accountant action preserve the missing-evidence state.,false,accepted,confirmed,human_evidence_review_observation_only
s02-path-002,S02,E001,evidence_gap,high,"initial_state/case.md,A001,D001",Explicit approval remains absent after approver response; buyer handoff and accountant action preserve the missing-evidence state.,false,accepted,confirmed,human_evidence_review_observation_only
s02-path-003,S02,E001,evidence_gap,high,"initial_state/case.md,A001,D001",Explicit approval remains absent after approver response; buyer handoff and accountant action preserve the missing-evidence state.,false,accepted,confirmed,human_evidence_review_observation_only
s03-path-001,S03,E001,evidence_gap,high,"initial_state/case.md,A001,D001",Explicit approval remains absent after approver response; buyer handoff and accountant action preserve the missing-evidence state.,false,accepted,confirmed,human_evidence_review_observation_only
s03-path-001,S03,E002,informal_pressure,medium,"A002,D002,M002","Vendor selected apply_deadline_pressure and buyer/accountant records preserve pressure context. Candidate supports pressure-context observation, not causation or questionable-path proof. Primary human reviewer accepted this as pressure-context evidence only, not pressure causation or questionable-path proof.",true,accepted,confirmed,human_evidence_review_observation_only
s03-path-002,S03,E001,evidence_gap,high,"initial_state/case.md,A001,D001",Explicit approval remains absent after approver response; buyer handoff and accountant action preserve the missing-evidence state.,false,accepted,confirmed,human_evidence_review_observation_only
s03-path-002,S03,E002,informal_pressure,medium,"A002,D002,M002","Vendor selected apply_deadline_pressure and buyer/accountant records preserve pressure context. Candidate supports pressure-context observation, not causation or questionable-path proof. Primary human reviewer accepted this as pressure-context evidence only, not pressure causation or questionable-path proof.",true,accepted,confirmed,human_evidence_review_observation_only
s04-path-001,S04,E001,evidence_gap,high,"initial_state/case.md,A001,D001",Explicit approval remains absent after approver response; buyer handoff and accountant action preserve the missing-evidence state.,false,accepted,confirmed,human_evidence_review_observation_only
s04-path-001,S04,E002,informal_pressure,medium,"A002,D002,M002","Vendor selected apply_deadline_pressure and buyer/accountant records preserve pressure context. Candidate supports pressure-context observation, not causation or questionable-path proof. Primary human reviewer accepted this as pressure-context evidence only, not pressure causation or questionable-path proof.",true,accepted,confirmed,human_evidence_review_observation_only
s04-path-002,S04,E001,evidence_gap,high,"initial_state/case.md,A001,D001",Explicit approval remains absent after approver response; buyer handoff and accountant action preserve the missing-evidence state.,false,accepted,confirmed,human_evidence_review_observation_only
s04-path-002,S04,E002,informal_pressure,medium,"A002,D002,M002","Vendor selected apply_deadline_pressure and buyer/accountant records preserve pressure context. Candidate supports pressure-context observation, not causation or questionable-path proof. Primary human reviewer accepted this as pressure-context evidence only, not pressure causation or questionable-path proof.",true,accepted,confirmed,human_evidence_review_observation_only
s05-path-001,S05,E001,evidence_gap,medium,"initial_state/case.md,A001,D001","Initial explicit-approval evidence was absent, but later approver approval resolved the gap before payment preparation. Treat as initial/pre-resolution evidence gap only, not final coordination failure. Primary human reviewer accepted this only as initial/pre-resolution missing approval, not as final coordination failure.",true,accepted,confirmed,human_evidence_review_observation_only
s05-path-002,S05,E001,evidence_gap,high,"initial_state/case.md,A001,D001",Explicit approval remains absent after approver response; buyer handoff and accountant action preserve the missing-evidence state.,false,accepted,confirmed,human_evidence_review_observation_only
s05-path-002,S05,E002,informal_pressure,medium,"A002,D002,M002","Vendor selected apply_deadline_pressure and buyer/accountant records preserve pressure context. Candidate supports pressure-context observation, not causation or questionable-path proof. Primary human reviewer accepted this as pressure-context evidence only, not pressure causation or questionable-path proof.",true,accepted,confirmed,human_evidence_review_observation_only
s05-path-003,S05,E001,evidence_gap,high,"initial_state/case.md,A001,D001",Explicit approval remains absent after approver response; buyer handoff and accountant action preserve the missing-evidence state.,false,accepted,confirmed,human_evidence_review_observation_only
s06-path-001,S06,E001,evidence_gap,medium,"initial_state/case.md,A001,D001","Initial explicit-approval evidence was absent, but later approver approval resolved the gap before payment preparation. Treat as initial/pre-resolution evidence gap only, not final coordination failure. Primary human reviewer accepted this only as initial/pre-resolution missing approval, not as final coordination failure.",true,accepted,confirmed,human_evidence_review_observation_only
s06-path-001,S06,E002,informal_pressure,medium,"A002,D002,M002","Vendor selected apply_deadline_pressure and buyer/accountant records preserve pressure context. Candidate supports pressure-context observation, not causation or questionable-path proof. Primary human reviewer accepted this as pressure-context evidence only, not pressure causation or questionable-path proof.",true,accepted,confirmed,human_evidence_review_observation_only
s06-path-002,S06,E001,evidence_gap,high,"initial_state/case.md,A001,D001",Explicit approval remains absent after approver response; buyer handoff and accountant action preserve the missing-evidence state.,false,accepted,confirmed,human_evidence_review_observation_only
s06-path-002,S06,E002,informal_pressure,medium,"A002,D002,M002","Vendor selected apply_deadline_pressure and buyer/accountant records preserve pressure context. Candidate supports pressure-context observation, not causation or questionable-path proof. Primary human reviewer accepted this as pressure-context evidence only, not pressure causation or questionable-path proof.",true,accepted,confirmed,human_evidence_review_observation_only
