pack_id,scenario_id,pack_path,full_path,reconstruction_status,reconstruction_confidence,gm_boundary_status,source_refs_status,claim_boundary_status,notes,review_status,review_confidence,primary_human_confirmation,review_boundary
s01-path-001,S01,results/org-payment/exp-0002-multi-role-baseline/representative-evidence-packs/s01/s01-path-001,send_message -> request_payment_status -> request_approval -> approve_payment -> submit_payment_request -> prepare_payment,accepted,high,accepted,accepted,accepted,"Full path reconstructable from actions and GM decisions. Source refs resolve; several actions use broad context refs, but core causal refs are present. No reviewed pack text makes causal, statistical, human-behavior, or real-world claims. Primary human reviewer confirmed the LLM-assisted candidate reconstruction judgments.",accepted,high,confirmed,human_evidence_review_observation_only
s02-path-001,S02,results/org-payment/exp-0002-multi-role-baseline/representative-evidence-packs/s02/s02-path-001,send_message -> request_payment_status -> request_approval -> request_more_evidence -> hold_payment -> hold_payment,accepted,high,accepted,accepted,accepted,"Full path reconstructable from actions and GM decisions. Source refs resolve; several actions use broad context refs, but core causal refs are present. No reviewed pack text makes causal, statistical, human-behavior, or real-world claims. Primary human reviewer confirmed the LLM-assisted candidate reconstruction judgments.",accepted,high,confirmed,human_evidence_review_observation_only
s02-path-002,S02,results/org-payment/exp-0002-multi-role-baseline/representative-evidence-packs/s02/s02-path-002,send_message -> request_payment_status -> request_approval -> request_more_evidence -> request_more_evidence -> hold_payment,accepted,high,accepted,accepted,accepted,"Full path reconstructable from actions and GM decisions. Source refs resolve; several actions use broad context refs, but core causal refs are present. No reviewed pack text makes causal, statistical, human-behavior, or real-world claims. Primary human reviewer confirmed the LLM-assisted candidate reconstruction judgments.",accepted,high,confirmed,human_evidence_review_observation_only
s02-path-003,S02,results/org-payment/exp-0002-multi-role-baseline/representative-evidence-packs/s02/s02-path-003,send_message -> request_payment_status -> request_approval_status -> request_more_evidence -> request_more_evidence -> hold_payment,accepted,high,accepted,accepted,accepted,"Full path reconstructable from actions and GM decisions. Source refs resolve; several actions use broad context refs, but core causal refs are present. No reviewed pack text makes causal, statistical, human-behavior, or real-world claims. Primary human reviewer confirmed the LLM-assisted candidate reconstruction judgments.",accepted,high,confirmed,human_evidence_review_observation_only
s03-path-001,S03,results/org-payment/exp-0002-multi-role-baseline/representative-evidence-packs/s03/s03-path-001,send_message -> apply_deadline_pressure -> request_approval -> request_more_evidence -> request_more_evidence -> hold_payment,accepted,high,accepted,accepted,accepted,"Full path reconstructable from actions and GM decisions. Source refs resolve; several actions use broad context refs, but core causal refs are present. No reviewed pack text makes causal, statistical, human-behavior, or real-world claims. Primary human reviewer confirmed the LLM-assisted candidate reconstruction judgments.",accepted,high,confirmed,human_evidence_review_observation_only
s03-path-002,S03,results/org-payment/exp-0002-multi-role-baseline/representative-evidence-packs/s03/s03-path-002,send_message -> apply_deadline_pressure -> request_approval -> request_more_evidence -> hold_payment -> hold_payment,accepted,high,accepted,accepted,accepted,"Full path reconstructable from actions and GM decisions. Source refs resolve; several actions use broad context refs, but core causal refs are present. No reviewed pack text makes causal, statistical, human-behavior, or real-world claims. Primary human reviewer confirmed the LLM-assisted candidate reconstruction judgments.",accepted,high,confirmed,human_evidence_review_observation_only
s04-path-001,S04,results/org-payment/exp-0002-multi-role-baseline/representative-evidence-packs/s04/s04-path-001,send_message -> apply_deadline_pressure -> request_approval -> request_more_evidence -> request_more_evidence -> hold_payment,accepted,high,accepted,accepted,accepted,"Full path reconstructable from actions and GM decisions. Source refs resolve; several actions use broad context refs, but core causal refs are present. No reviewed pack text makes causal, statistical, human-behavior, or real-world claims. Primary human reviewer confirmed the LLM-assisted candidate reconstruction judgments.",accepted,high,confirmed,human_evidence_review_observation_only
s04-path-002,S04,results/org-payment/exp-0002-multi-role-baseline/representative-evidence-packs/s04/s04-path-002,send_message -> apply_deadline_pressure -> request_approval -> request_more_evidence -> hold_payment -> hold_payment,accepted,high,accepted,accepted,accepted,"Full path reconstructable from actions and GM decisions. Source refs resolve; several actions use broad context refs, but core causal refs are present. No reviewed pack text makes causal, statistical, human-behavior, or real-world claims. Primary human reviewer confirmed the LLM-assisted candidate reconstruction judgments.",accepted,high,confirmed,human_evidence_review_observation_only
s05-path-001,S05,results/org-payment/exp-0002-multi-role-baseline/representative-evidence-packs/s05/s05-path-001,send_message -> request_payment_status -> request_approval -> approve_payment -> submit_payment_request -> prepare_payment,accepted,high,accepted,accepted,accepted,"Full path reconstructable from actions and GM decisions. Source refs resolve; several actions use broad context refs, but core causal refs are present. No reviewed pack text makes causal, statistical, human-behavior, or real-world claims. Primary human reviewer confirmed the LLM-assisted candidate reconstruction judgments.",accepted,high,confirmed,human_evidence_review_observation_only
s05-path-002,S05,results/org-payment/exp-0002-multi-role-baseline/representative-evidence-packs/s05/s05-path-002,send_message -> apply_deadline_pressure -> request_approval -> request_more_evidence -> request_more_evidence -> hold_payment,accepted,high,accepted,accepted,accepted,"Full path reconstructable from actions and GM decisions. Source refs resolve; several actions use broad context refs, but core causal refs are present. No reviewed pack text makes causal, statistical, human-behavior, or real-world claims. Primary human reviewer confirmed the LLM-assisted candidate reconstruction judgments.",accepted,high,confirmed,human_evidence_review_observation_only
