checkpoint,artifact,claim_level,supported_claim,limits,next_use
"P0 research positioning","docs/adr/ADR-0001-research-positioning.md","supported_artifact_claim","Research is positioned as artificial social simulation of institutional friction and failure.","Does not treat LLM agents as complete human substitutes.","Controls all later claim wording."
"P0 Game Master architecture","docs/adr/ADR-0002-game-master-architecture.md","supported_artifact_claim","Actor proposals are separated from institutional outcomes by a Game Master boundary.","Architecture direction is not proof of validity.","Frames evidence-pack interpretation."
"P1-P3 design protocols","protocols/odd-social/odd-social-v0.1.md; protocols/evaluation/event-taxonomy-v0.1.md; protocols/evaluation/metrics-v0.1.md; protocols/evaluation/evidence-pack-v0.1.md; protocols/evaluation/claim-boundaries-v0.1.md","supported_artifact_claim","Scenario, event, metric, evidence, and claim-control protocols exist.","Protocol existence does not validate constructs or external behavior.","Provides synthesis vocabulary and limits."
"EXP-0002 baseline","results/org-payment/exp-0002-multi-role-baseline/summary.md","bounded_observation_claim","30 accepted org-payment multi-role baseline runs were generated and mechanically validated under frozen conditions.","Descriptive counts only; no causal, statistical, human, or real-world claim.","Primary org-payment observation base."
"EXP-0002 review","results/org-payment/exp-0002-multi-role-baseline/review.md","supported_artifact_claim","EXP-0002 review records execution accounting and interpretation boundaries.","Does not mark proposed events as human-reviewed.","Justifies human review checkpoint."
"EXP-0002 human review","results/org-payment/exp-0002-multi-role-baseline/human-review-0001/summary.md","reviewed_evidence_claim","14 representative packs were accepted for reconstruction; 21 proposed event labels accepted with limits; 120 metrics accepted; 6 pressure-citation metrics need revision.","Curated representative packs only; one primary reviewer; no secondary adjudication.","Supports limited reviewed-evidence claims."
"EXP-0002 construct validity","results/org-payment/exp-0002-multi-role-baseline/construct-validity-0001/summary.md","construct_validity_limited_claim","evidence_gap, approval_evidence_propagation, and coordination_gap are supported for reviewed packs; informal_pressure is partial; several constructs were not observed.","Reviewed representative packs only; no construct support outside that scope.","Defines valid and invalid synthesis constructs."
"Pressure metric correction","protocols/evaluation/pressure-citation-metric-correction-v0.1.md","supported_artifact_claim","Future pressure metrics distinguish routine vendor context from explicit vendor pressure.","Does not rewrite frozen EXP-0002 artifacts.","Prevents pressure overclaim."
"EXP-0003 intervention stress test","results/org-payment/exp-0003-intervention-validity-stress-test-0001/summary.md","bounded_observation_claim","Descriptive institutional contrasts were summarized over committed EXP-0002 artifacts.","No new LLM execution; no causal intervention claim.","Descriptive scenario contrast evidence."
"EXP-0004 provider-randomness sensitivity","results/org-payment/exp-0004-provider-randomness-sensitivity-0001/summary.md","bounded_observation_claim","12 accepted repeat runs tested one provider-randomness sensitivity axis under fixed conditions.","No model, prompt, menu, Game Master, scenario, statistical, or causal claim.","Records limited repeat-run path variation."
"EXP-0004 review","results/org-payment/exp-0004-provider-randomness-sensitivity-0001/review.md","supported_artifact_claim","Review advances to second-domain pilot because the major gap is domain expansion.","Does not claim transfer has been demonstrated.","Justifies EXP-0005."
"Second-domain ADR","docs/adr/ADR-0004-second-domain-expense-reimbursement.md","supported_artifact_claim","Expense reimbursement was selected as an adjacent second domain.","Selection is not cross-domain validation.","Frames EXP-0005 scope."
"EXP-0005 second-domain pilot","results/expense-reimbursement/exp-0005-second-domain-pilot-0001/summary.md","bounded_observation_claim","5 accepted ER01 runs produced a mechanically valid second-domain pilot artifact.","One scenario only; no human review; no cross-domain generalization.","Supports limited transfer-pilot claim."
"EXP-0005 review","results/expense-reimbursement/exp-0005-second-domain-pilot-0001/review.md","supported_artifact_claim","Review advances to BC20 synthesis while preserving second-domain limits.","Does not claim expense reimbursement validates org-payment.","Input to final synthesis."
"Method B+ endpoint","docs/synthesis/method-b-plus-endpoint-claim-hardening-review-v0.1.md","bounded_artificial_system_claim","Downstream accounting often preserved explicit approval/evidence gaps under current targeted artificial protocols.","No real-world control-effectiveness, human behavior, statistical, causal, model-general, compliance, legal, audit, or operational claim.","Supports boundary-preservation synthesis and stops autonomous run-producing Method B+ diagnostics without a new mechanism-selection PR."
"Method B+ narrow SL2","docs/synthesis/non-intentional-control-slippage-map.csv; docs/synthesis/method-b-plus-periodic-synthesis-after-s18-s19-v0.1.md","boundary_limited_observation_claim","Narrow buyer-side SL2 handoff appeared in BC31 and S18 lossy handoff reviewed artificial evidence.","Does not support SL3 accountant preparation, SL4 final payment-ready state, full approval bypass, or causation.","Use only as narrow within-control process drift evidence under the historical slippage map."
"S27 narrow SL3 partial","pilot-runs/org-payment/phase4-s27-payment-draft-staging-diagnostic-0001/project-owner-review-0001/summary.md","boundary_limited_observation_claim","Project-owner review treats S27 create_payment_draft as narrow SL3 partially_supported_needs_revision while approval and exception gaps remained visible.","Does not support SL4 final payment-ready state, full approval bypass, SL6 evidence-gap erasure, fraud, human behavior, real-world behavior, statistical significance, or audit/compliance sufficiency.","Use only as narrow within-control process drift evidence."
"Within-Control Process Drift scope","docs/research/within-control-process-drift-scope-v0.1.md","supported_artifact_claim","Forward-looking scope uses within-control / outside-control rather than inferred intent and includes structuring when authority, records, and evidence integrity remain within-control.","Does not add run evidence, empirical support, baseline readiness, fraud, human behavior, real-world behavior, or statistical claims.","Use for future scope classification and report wording."
"BC20 synthesis","docs/synthesis/social-chaos-claim-synthesis-v0.1.md","hypothesis_for_future_work","Artificial-organization traces can support hypotheses for future institutional-friction research.","Requires broader domains, review, sensitivity, and external validation before stronger claims.","Controls post-BC20 narrative."
