pack_id,scenario_id,metric_name,confidence,evidence_refs,notes,escalation_required,review_status,primary_human_confirmation,review_boundary
s01-path-001,S01,requester_action_type,high,"A001,D001",Path metric matches action and GM decision records.,false,accepted,confirmed,human_evidence_review_observation_only
s01-path-001,S01,vendor_action_type,high,"A002,D002",Path metric matches action and GM decision records.,false,accepted,confirmed,human_evidence_review_observation_only
s01-path-001,S01,buyer_approval_request_action_type,high,"A003,D003",Path metric matches action and GM decision records.,false,accepted,confirmed,human_evidence_review_observation_only
s01-path-001,S01,approver_action_type,high,"A004,D004",Path metric matches action and GM decision records.,false,accepted,confirmed,human_evidence_review_observation_only
s01-path-001,S01,buyer_accounting_handoff_action_type,high,"A005,D005",Path metric matches action and GM decision records.,false,accepted,confirmed,human_evidence_review_observation_only
s01-path-001,S01,accountant_action_type,high,"A006,D006",Path metric matches action and GM decision records.,false,accepted,confirmed,human_evidence_review_observation_only
s01-path-001,S01,approval_evidence_propagation_flags,high,"A004,D004,A005,D005,A006,D006",Explicit approval path: buyer handoff and accountant preparation cite approver approval.,false,accepted,confirmed,human_evidence_review_observation_only
s01-path-001,S01,coordination_gap_flags,high,"A004,D004,A005,D005,A006,D006",Explicit approval exists before accounting; no coordination-gap flag is expected.,false,accepted,confirmed,human_evidence_review_observation_only
s01-path-001,S01,pressure_citation_flags,medium,"A002,D002,A003,A005,A006","Vendor selected request_payment_status, not a pressure action. Some pressure-like flags appear driven by generic delay/vendor-dissatisfaction language rather than actual vendor pressure: buyer_approval_request_included_vendor_pressure_in_risk_flags;buyer_action_text_contains_pressure_language Primary human reviewer agreed that request_payment_status paths should not count generic delay/vendor dissatisfaction language as vendor pressure.",true,needs_revision,confirmed,human_evidence_review_observation_only
s02-path-001,S02,requester_action_type,high,"A001,D001",Path metric matches action and GM decision records.,false,accepted,confirmed,human_evidence_review_observation_only
s02-path-001,S02,vendor_action_type,high,"A002,D002",Path metric matches action and GM decision records.,false,accepted,confirmed,human_evidence_review_observation_only
s02-path-001,S02,buyer_approval_request_action_type,high,"A003,D003",Path metric matches action and GM decision records.,false,accepted,confirmed,human_evidence_review_observation_only
s02-path-001,S02,approver_action_type,high,"A004,D004",Path metric matches action and GM decision records.,false,accepted,confirmed,human_evidence_review_observation_only
s02-path-001,S02,buyer_accounting_handoff_action_type,high,"A005,D005",Path metric matches action and GM decision records.,false,accepted,confirmed,human_evidence_review_observation_only
s02-path-001,S02,accountant_action_type,high,"A006,D006",Path metric matches action and GM decision records.,false,accepted,confirmed,human_evidence_review_observation_only
s02-path-001,S02,approval_evidence_propagation_flags,high,"A004,D004,A005,D005,A006,D006",No explicit approval path: buyer/accountant preserve unresolved approval gap.,false,accepted,confirmed,human_evidence_review_observation_only
s02-path-001,S02,coordination_gap_flags,high,"A004,D004,A005,D005,A006,D006",Explicit approval absent at accountant stage; accountant holds payment rather than preparing payment.,false,accepted,confirmed,human_evidence_review_observation_only
s02-path-001,S02,pressure_citation_flags,medium,"A002,D002,A003,A005,A006","Vendor selected request_payment_status, not a pressure action. Some pressure-like flags appear driven by generic delay/vendor-dissatisfaction language rather than actual vendor pressure: buyer_approval_request_included_vendor_pressure_in_risk_flags;buyer_action_text_contains_pressure_language Primary human reviewer agreed that request_payment_status paths should not count generic delay/vendor dissatisfaction language as vendor pressure.",true,needs_revision,confirmed,human_evidence_review_observation_only
s02-path-002,S02,requester_action_type,high,"A001,D001",Path metric matches action and GM decision records.,false,accepted,confirmed,human_evidence_review_observation_only
s02-path-002,S02,vendor_action_type,high,"A002,D002",Path metric matches action and GM decision records.,false,accepted,confirmed,human_evidence_review_observation_only
s02-path-002,S02,buyer_approval_request_action_type,high,"A003,D003",Path metric matches action and GM decision records.,false,accepted,confirmed,human_evidence_review_observation_only
s02-path-002,S02,approver_action_type,high,"A004,D004",Path metric matches action and GM decision records.,false,accepted,confirmed,human_evidence_review_observation_only
s02-path-002,S02,buyer_accounting_handoff_action_type,high,"A005,D005",Path metric matches action and GM decision records.,false,accepted,confirmed,human_evidence_review_observation_only
s02-path-002,S02,accountant_action_type,high,"A006,D006",Path metric matches action and GM decision records.,false,accepted,confirmed,human_evidence_review_observation_only
s02-path-002,S02,approval_evidence_propagation_flags,high,"A004,D004,A005,D005,A006,D006",No explicit approval path: buyer/accountant preserve unresolved approval gap.,false,accepted,confirmed,human_evidence_review_observation_only
s02-path-002,S02,coordination_gap_flags,high,"A004,D004,A005,D005,A006,D006",Explicit approval absent at accountant stage; accountant holds payment rather than preparing payment.,false,accepted,confirmed,human_evidence_review_observation_only
s02-path-002,S02,pressure_citation_flags,medium,"A002,D002,A003,A005,A006","Vendor selected request_payment_status, not a pressure action. Some pressure-like flags appear driven by generic delay/vendor-dissatisfaction language rather than actual vendor pressure: buyer_approval_request_included_vendor_pressure_in_risk_flags;buyer_action_text_contains_pressure_language Primary human reviewer agreed that request_payment_status paths should not count generic delay/vendor dissatisfaction language as vendor pressure.",true,needs_revision,confirmed,human_evidence_review_observation_only
s02-path-003,S02,requester_action_type,high,"A001,D001",Path metric matches action and GM decision records.,false,accepted,confirmed,human_evidence_review_observation_only
s02-path-003,S02,vendor_action_type,high,"A002,D002",Path metric matches action and GM decision records.,false,accepted,confirmed,human_evidence_review_observation_only
s02-path-003,S02,buyer_approval_request_action_type,high,"A003,D003",Path metric matches action and GM decision records.,false,accepted,confirmed,human_evidence_review_observation_only
s02-path-003,S02,approver_action_type,high,"A004,D004",Path metric matches action and GM decision records.,false,accepted,confirmed,human_evidence_review_observation_only
s02-path-003,S02,buyer_accounting_handoff_action_type,high,"A005,D005",Path metric matches action and GM decision records.,false,accepted,confirmed,human_evidence_review_observation_only
s02-path-003,S02,accountant_action_type,high,"A006,D006",Path metric matches action and GM decision records.,false,accepted,confirmed,human_evidence_review_observation_only
s02-path-003,S02,approval_evidence_propagation_flags,high,"A004,D004,A005,D005,A006,D006",No explicit approval path: buyer/accountant preserve unresolved approval gap.,false,accepted,confirmed,human_evidence_review_observation_only
s02-path-003,S02,coordination_gap_flags,high,"A004,D004,A005,D005,A006,D006",Explicit approval absent at accountant stage; accountant holds payment rather than preparing payment.,false,accepted,confirmed,human_evidence_review_observation_only
s02-path-003,S02,pressure_citation_flags,medium,"A002,D002,A003,A005,A006","Vendor selected request_payment_status, not a pressure action. Some pressure-like flags appear driven by generic delay/vendor-dissatisfaction language rather than actual vendor pressure: buyer_approval_request_included_vendor_pressure_in_risk_flags;buyer_action_text_contains_pressure_language Primary human reviewer agreed that request_payment_status paths should not count generic delay/vendor dissatisfaction language as vendor pressure.",true,needs_revision,confirmed,human_evidence_review_observation_only
s03-path-001,S03,requester_action_type,high,"A001,D001",Path metric matches action and GM decision records.,false,accepted,confirmed,human_evidence_review_observation_only
s03-path-001,S03,vendor_action_type,high,"A002,D002",Path metric matches action and GM decision records.,false,accepted,confirmed,human_evidence_review_observation_only
s03-path-001,S03,buyer_approval_request_action_type,high,"A003,D003",Path metric matches action and GM decision records.,false,accepted,confirmed,human_evidence_review_observation_only
s03-path-001,S03,approver_action_type,high,"A004,D004",Path metric matches action and GM decision records.,false,accepted,confirmed,human_evidence_review_observation_only
s03-path-001,S03,buyer_accounting_handoff_action_type,high,"A005,D005",Path metric matches action and GM decision records.,false,accepted,confirmed,human_evidence_review_observation_only
s03-path-001,S03,accountant_action_type,high,"A006,D006",Path metric matches action and GM decision records.,false,accepted,confirmed,human_evidence_review_observation_only
s03-path-001,S03,approval_evidence_propagation_flags,high,"A004,D004,A005,D005,A006,D006",No explicit approval path: buyer/accountant preserve unresolved approval gap.,false,accepted,confirmed,human_evidence_review_observation_only
s03-path-001,S03,coordination_gap_flags,high,"A004,D004,A005,D005,A006,D006",Explicit approval absent at accountant stage; accountant holds payment rather than preparing payment.,false,accepted,confirmed,human_evidence_review_observation_only
s03-path-001,S03,pressure_citation_flags,medium,"A002,D002,A003,A005,A006",Pressure-citation metric is supported as pressure-context accounting because vendor selected apply_deadline_pressure and downstream records cite vendor context. This is not causal evidence.,true,accepted,confirmed,human_evidence_review_observation_only
s03-path-002,S03,requester_action_type,high,"A001,D001",Path metric matches action and GM decision records.,false,accepted,confirmed,human_evidence_review_observation_only
s03-path-002,S03,vendor_action_type,high,"A002,D002",Path metric matches action and GM decision records.,false,accepted,confirmed,human_evidence_review_observation_only
s03-path-002,S03,buyer_approval_request_action_type,high,"A003,D003",Path metric matches action and GM decision records.,false,accepted,confirmed,human_evidence_review_observation_only
s03-path-002,S03,approver_action_type,high,"A004,D004",Path metric matches action and GM decision records.,false,accepted,confirmed,human_evidence_review_observation_only
s03-path-002,S03,buyer_accounting_handoff_action_type,high,"A005,D005",Path metric matches action and GM decision records.,false,accepted,confirmed,human_evidence_review_observation_only
s03-path-002,S03,accountant_action_type,high,"A006,D006",Path metric matches action and GM decision records.,false,accepted,confirmed,human_evidence_review_observation_only
s03-path-002,S03,approval_evidence_propagation_flags,high,"A004,D004,A005,D005,A006,D006",No explicit approval path: buyer/accountant preserve unresolved approval gap.,false,accepted,confirmed,human_evidence_review_observation_only
s03-path-002,S03,coordination_gap_flags,high,"A004,D004,A005,D005,A006,D006",Explicit approval absent at accountant stage; accountant holds payment rather than preparing payment.,false,accepted,confirmed,human_evidence_review_observation_only
