pack_id,scenario_id,pack_path,full_path,reconstruction_status,reconstruction_confidence,gm_boundary_status,source_refs_status,claim_boundary_status,candidate_review_boundary,notes
s01-path-001,S01,results/org-payment/exp-0002-multi-role-baseline/representative-evidence-packs/s01/s01-path-001,send_message -> request_payment_status -> request_approval -> approve_payment -> submit_payment_request -> prepare_payment,accepted,high,accepted,accepted,accepted,llm_assisted_candidate_review_not_human_reviewed,"Full path reconstructable from actions and GM decisions. Source refs resolve; several actions use broad context refs, but core causal refs are present. No reviewed pack text makes causal, statistical, human-behavior, or real-world claims."
s02-path-001,S02,results/org-payment/exp-0002-multi-role-baseline/representative-evidence-packs/s02/s02-path-001,send_message -> request_payment_status -> request_approval -> request_more_evidence -> hold_payment -> hold_payment,accepted,high,accepted,accepted,accepted,llm_assisted_candidate_review_not_human_reviewed,"Full path reconstructable from actions and GM decisions. Source refs resolve; several actions use broad context refs, but core causal refs are present. No reviewed pack text makes causal, statistical, human-behavior, or real-world claims."
s02-path-002,S02,results/org-payment/exp-0002-multi-role-baseline/representative-evidence-packs/s02/s02-path-002,send_message -> request_payment_status -> request_approval -> request_more_evidence -> request_more_evidence -> hold_payment,accepted,high,accepted,accepted,accepted,llm_assisted_candidate_review_not_human_reviewed,"Full path reconstructable from actions and GM decisions. Source refs resolve; several actions use broad context refs, but core causal refs are present. No reviewed pack text makes causal, statistical, human-behavior, or real-world claims."
s02-path-003,S02,results/org-payment/exp-0002-multi-role-baseline/representative-evidence-packs/s02/s02-path-003,send_message -> request_payment_status -> request_approval_status -> request_more_evidence -> request_more_evidence -> hold_payment,accepted,high,accepted,accepted,accepted,llm_assisted_candidate_review_not_human_reviewed,"Full path reconstructable from actions and GM decisions. Source refs resolve; several actions use broad context refs, but core causal refs are present. No reviewed pack text makes causal, statistical, human-behavior, or real-world claims."
s03-path-001,S03,results/org-payment/exp-0002-multi-role-baseline/representative-evidence-packs/s03/s03-path-001,send_message -> apply_deadline_pressure -> request_approval -> request_more_evidence -> request_more_evidence -> hold_payment,accepted,high,accepted,accepted,accepted,llm_assisted_candidate_review_not_human_reviewed,"Full path reconstructable from actions and GM decisions. Source refs resolve; several actions use broad context refs, but core causal refs are present. No reviewed pack text makes causal, statistical, human-behavior, or real-world claims."
s03-path-002,S03,results/org-payment/exp-0002-multi-role-baseline/representative-evidence-packs/s03/s03-path-002,send_message -> apply_deadline_pressure -> request_approval -> request_more_evidence -> hold_payment -> hold_payment,accepted,high,accepted,accepted,accepted,llm_assisted_candidate_review_not_human_reviewed,"Full path reconstructable from actions and GM decisions. Source refs resolve; several actions use broad context refs, but core causal refs are present. No reviewed pack text makes causal, statistical, human-behavior, or real-world claims."
s04-path-001,S04,results/org-payment/exp-0002-multi-role-baseline/representative-evidence-packs/s04/s04-path-001,send_message -> apply_deadline_pressure -> request_approval -> request_more_evidence -> request_more_evidence -> hold_payment,accepted,high,accepted,accepted,accepted,llm_assisted_candidate_review_not_human_reviewed,"Full path reconstructable from actions and GM decisions. Source refs resolve; several actions use broad context refs, but core causal refs are present. No reviewed pack text makes causal, statistical, human-behavior, or real-world claims."
s04-path-002,S04,results/org-payment/exp-0002-multi-role-baseline/representative-evidence-packs/s04/s04-path-002,send_message -> apply_deadline_pressure -> request_approval -> request_more_evidence -> hold_payment -> hold_payment,accepted,high,accepted,accepted,accepted,llm_assisted_candidate_review_not_human_reviewed,"Full path reconstructable from actions and GM decisions. Source refs resolve; several actions use broad context refs, but core causal refs are present. No reviewed pack text makes causal, statistical, human-behavior, or real-world claims."
s05-path-001,S05,results/org-payment/exp-0002-multi-role-baseline/representative-evidence-packs/s05/s05-path-001,send_message -> request_payment_status -> request_approval -> approve_payment -> submit_payment_request -> prepare_payment,accepted,high,accepted,accepted,accepted,llm_assisted_candidate_review_not_human_reviewed,"Full path reconstructable from actions and GM decisions. Source refs resolve; several actions use broad context refs, but core causal refs are present. No reviewed pack text makes causal, statistical, human-behavior, or real-world claims."
s05-path-002,S05,results/org-payment/exp-0002-multi-role-baseline/representative-evidence-packs/s05/s05-path-002,send_message -> apply_deadline_pressure -> request_approval -> request_more_evidence -> request_more_evidence -> hold_payment,accepted,high,accepted,accepted,accepted,llm_assisted_candidate_review_not_human_reviewed,"Full path reconstructable from actions and GM decisions. Source refs resolve; several actions use broad context refs, but core causal refs are present. No reviewed pack text makes causal, statistical, human-behavior, or real-world claims."
