claim_level,definition,accepted_use,review_requirement,not_enough_for,this_project_examples
supported_artifact_claim,"A repository artifact, protocol, schema, runner, validator, or documented decision exists and can be inspected.","Governance, protocols, schemas, architecture, documented decisions.","Artifact exists and links resolve; no empirical review required beyond document review.","Substantive behavior, construct validity, external validity.","ADRs; ODD-Social; schemas; evidence-pack validator"
bounded_observation_claim,"A frozen artificial run or curated result recorded a descriptive outcome under specified conditions.","Execution accounting and descriptive counts under frozen artificial conditions.","Mechanically valid pack or curated result package with execution accounting.","Causality, statistical significance, human behavior, real-world behavior.","EXP-0001; EXP-0002; EXP-0004; EXP-0005"
reviewed_evidence_claim,"A reviewed artifact supports a bounded interpretation in the reviewed scope.","Representative-pack reconstruction, event-label acceptance with limits, metric review.","Human or authorized review artifact with source references and review status.","All raw-run review, inter-rater reliability, broader construct support.","EXP-0002 human review"
construct_validity_limited_claim,"A construct is usable only inside an explicitly reviewed scope and interpretation boundary.","Construct use in synthesis when limits are preserved.","Construct validity review or equivalent evidence review.","External validity or unsupported constructs.","EXP-0002 construct validity for evidence_gap and coordination_gap"
bounded_artificial_system_claim,"A pattern is supported within artificial-system artifacts but not outside them.","Project-level artificial-system patterns such as downstream gap preservation.","Synthesis over reviewed or validated artificial artifacts with claim boundary.","Human behavior, real organizations, model-general safety, control effectiveness.","Method B+ endpoint boundary preservation"
boundary_limited_observation_claim,"A finding is supported only at a specific process stage or boundary.","Stage-specific claims such as buyer-side SL2 handoff.","Reviewed evidence showing the stage and excluding stronger stages.","Full failure-mode support or downstream completion.","BC31 and S18 narrow SL2 handoff"
reviewed_rejection_claim,"A generated candidate was reviewed and rejected under stated criteria.","False-positive control and candidate/support separation.","Review artifact explaining rejection against frozen criteria.","Absence proof generally.","BC28/BC31/BC37-C/BC35 FM6 rejected candidates"
generated_candidate_claim,"A heuristic or run output generated a possible candidate for review.","Queue for later review only.","Generated row with source refs and review status `requires_review`.","Support, partial support, or finding.","Pre-review candidate rows in Method B/Method B+"
not_observed_claim,"A target was not observed in a bounded run or reviewed scope.","Bounded negative or conservative result.","Explicit denominator or reviewed scope.","Proof that the target cannot occur generally.","S17/S19 SL2/SL3/SL4/SL6 not observed"
hypothesis_for_future_work,"A bounded artifact suggests a possible future research direction.","Future protocol design and research framing.","Clearly marked as hypothesis, not finding.","Empirical claim, external validity, or baseline readiness.","Social chaos synthesis future-work claims"
forbidden_claim,"A claim outside the project's evidence boundary.","None.","Not applicable.","Any project report.","Human society reproduction; real-world prediction; statistical significance; compliance/legal/audit sufficiency"
