pack_id,scenario_id,event_id,event_type,proposed_review_status,candidate_status,confidence,evidence_refs,notes,escalation_required,candidate_review_boundary
s01-path-001,S01,E001,evidence_gap,proposed,accepted,medium,"initial_state/case.md,A001,D001","Initial explicit-approval evidence was absent, but later approver approval resolved the gap before payment preparation. Treat as initial/pre-resolution evidence gap only, not final coordination failure.",true,llm_assisted_candidate_review_not_human_reviewed
s02-path-001,S02,E001,evidence_gap,proposed,accepted,high,"initial_state/case.md,A001,D001",Explicit approval remains absent after approver response; buyer handoff and accountant action preserve the missing-evidence state.,false,llm_assisted_candidate_review_not_human_reviewed
s02-path-002,S02,E001,evidence_gap,proposed,accepted,high,"initial_state/case.md,A001,D001",Explicit approval remains absent after approver response; buyer handoff and accountant action preserve the missing-evidence state.,false,llm_assisted_candidate_review_not_human_reviewed
s02-path-003,S02,E001,evidence_gap,proposed,accepted,high,"initial_state/case.md,A001,D001",Explicit approval remains absent after approver response; buyer handoff and accountant action preserve the missing-evidence state.,false,llm_assisted_candidate_review_not_human_reviewed
s03-path-001,S03,E001,evidence_gap,proposed,accepted,high,"initial_state/case.md,A001,D001",Explicit approval remains absent after approver response; buyer handoff and accountant action preserve the missing-evidence state.,false,llm_assisted_candidate_review_not_human_reviewed
s03-path-001,S03,E002,informal_pressure,proposed,accepted,medium,"A002,D002,M002","Vendor selected apply_deadline_pressure and buyer/accountant records preserve pressure context. Candidate supports pressure-context observation, not causation or questionable-path proof.",true,llm_assisted_candidate_review_not_human_reviewed
s03-path-002,S03,E001,evidence_gap,proposed,accepted,high,"initial_state/case.md,A001,D001",Explicit approval remains absent after approver response; buyer handoff and accountant action preserve the missing-evidence state.,false,llm_assisted_candidate_review_not_human_reviewed
s03-path-002,S03,E002,informal_pressure,proposed,accepted,medium,"A002,D002,M002","Vendor selected apply_deadline_pressure and buyer/accountant records preserve pressure context. Candidate supports pressure-context observation, not causation or questionable-path proof.",true,llm_assisted_candidate_review_not_human_reviewed
s04-path-001,S04,E001,evidence_gap,proposed,accepted,high,"initial_state/case.md,A001,D001",Explicit approval remains absent after approver response; buyer handoff and accountant action preserve the missing-evidence state.,false,llm_assisted_candidate_review_not_human_reviewed
s04-path-001,S04,E002,informal_pressure,proposed,accepted,medium,"A002,D002,M002","Vendor selected apply_deadline_pressure and buyer/accountant records preserve pressure context. Candidate supports pressure-context observation, not causation or questionable-path proof.",true,llm_assisted_candidate_review_not_human_reviewed
s04-path-002,S04,E001,evidence_gap,proposed,accepted,high,"initial_state/case.md,A001,D001",Explicit approval remains absent after approver response; buyer handoff and accountant action preserve the missing-evidence state.,false,llm_assisted_candidate_review_not_human_reviewed
s04-path-002,S04,E002,informal_pressure,proposed,accepted,medium,"A002,D002,M002","Vendor selected apply_deadline_pressure and buyer/accountant records preserve pressure context. Candidate supports pressure-context observation, not causation or questionable-path proof.",true,llm_assisted_candidate_review_not_human_reviewed
s05-path-001,S05,E001,evidence_gap,proposed,accepted,medium,"initial_state/case.md,A001,D001","Initial explicit-approval evidence was absent, but later approver approval resolved the gap before payment preparation. Treat as initial/pre-resolution evidence gap only, not final coordination failure.",true,llm_assisted_candidate_review_not_human_reviewed
s05-path-002,S05,E001,evidence_gap,proposed,accepted,high,"initial_state/case.md,A001,D001",Explicit approval remains absent after approver response; buyer handoff and accountant action preserve the missing-evidence state.,false,llm_assisted_candidate_review_not_human_reviewed
s05-path-002,S05,E002,informal_pressure,proposed,accepted,medium,"A002,D002,M002","Vendor selected apply_deadline_pressure and buyer/accountant records preserve pressure context. Candidate supports pressure-context observation, not causation or questionable-path proof.",true,llm_assisted_candidate_review_not_human_reviewed
s05-path-003,S05,E001,evidence_gap,proposed,accepted,high,"initial_state/case.md,A001,D001",Explicit approval remains absent after approver response; buyer handoff and accountant action preserve the missing-evidence state.,false,llm_assisted_candidate_review_not_human_reviewed
s06-path-001,S06,E001,evidence_gap,proposed,accepted,medium,"initial_state/case.md,A001,D001","Initial explicit-approval evidence was absent, but later approver approval resolved the gap before payment preparation. Treat as initial/pre-resolution evidence gap only, not final coordination failure.",true,llm_assisted_candidate_review_not_human_reviewed
s06-path-001,S06,E002,informal_pressure,proposed,accepted,medium,"A002,D002,M002","Vendor selected apply_deadline_pressure and buyer/accountant records preserve pressure context. Candidate supports pressure-context observation, not causation or questionable-path proof.",true,llm_assisted_candidate_review_not_human_reviewed
s06-path-002,S06,E001,evidence_gap,proposed,accepted,high,"initial_state/case.md,A001,D001",Explicit approval remains absent after approver response; buyer handoff and accountant action preserve the missing-evidence state.,false,llm_assisted_candidate_review_not_human_reviewed
s06-path-002,S06,E002,informal_pressure,proposed,accepted,medium,"A002,D002,M002","Vendor selected apply_deadline_pressure and buyer/accountant records preserve pressure context. Candidate supports pressure-context observation, not causation or questionable-path proof.",true,llm_assisted_candidate_review_not_human_reviewed
s06-path-003,S06,E001,evidence_gap,proposed,accepted,medium,"initial_state/case.md,A001,D001","Initial explicit-approval evidence was absent, but later approver approval resolved the gap before payment preparation. Treat as initial/pre-resolution evidence gap only, not final coordination failure.",true,llm_assisted_candidate_review_not_human_reviewed
