evidence_id,artifact_or_area,primary_artifact,claim_level,review_level,supports,does_not_support,next_use
E001,Research positioning,docs/adr/ADR-0001-research-positioning.md,supported_artifact_claim,accepted_document,"Artificial-organization positioning and rejection of direct human-social claims.","Empirical validity or external behavior claims.","Controls all later project framing."
E002,Game Master architecture,docs/adr/ADR-0002-game-master-architecture.md,supported_artifact_claim,accepted_document,"Actor proposal and institutional outcome separation.","Validity of any observed failure mode by itself.","Frames evidence-pack interpretation."
E003,ODD-Social and org-payment scenario design,protocols/odd-social/odd-social-v0.1.md,supported_artifact_claim,accepted_protocol,"Structured artificial-world and scenario representation.","Scenario realism or real-world representativeness.","Supports reconstructable artificial organization design."
E004,Evaluation protocols,protocols/evaluation/evidence-pack-v0.1.md,supported_artifact_claim,accepted_protocol,"Event, metric, evidence-pack, review, and claim-boundary protocols.","Construct validity or external validity by existence alone.","Defines evidence and review vocabulary."
E005,Data contracts and schemas,schemas/run-manifest.schema.json,supported_artifact_claim,validated_artifact,"Machine-readable contracts for evidence-pack records.","Substantive correctness of generated claims.","Supports mechanical validation."
E006,Non-LLM dry run,dry-runs/org-payment/s04-paper-dry-run/README.md,supported_artifact_claim,manual_dry_run,"Protocol artifacts can be manually reconstructed before implementation.","LLM behavior or failure-mode support.","Early integration check."
E007,EXP-0001 buyer-only baseline,results/org-payment/exp-0001-buyer-only-baseline/summary.md,bounded_observation_claim,mechanically_validated_result,"Buyer-only baseline produced stable request-approval behavior under frozen artificial conditions.","Human buyer behavior, scenario effects, or statistical distribution.","Baseline contrast for later multi-role work."
E008,M01-M05 multi-role pilots,pilot-runs/org-payment/m05-full-org-payment-pilot-0001/review.md,bounded_observation_claim,proxy_or_project_reviewed_pilot,"Multi-role artificial org-payment execution works through staged pilots.","Human organization behavior or multi-role baseline effects.","Execution infrastructure evidence."
E009,EXP-0002 multi-role baseline,results/org-payment/exp-0002-multi-role-baseline/summary.md,bounded_observation_claim,mechanically_validated_result,"30 accepted S01-S06 multi-role baseline runs under frozen conditions.","Causality, statistical significance, or real-world behavior.","Primary org-payment artificial observation base."
E010,EXP-0002 human review,results/org-payment/exp-0002-multi-role-baseline/human-review-0001/summary.md,reviewed_evidence_claim,primary_human_review,"14 representative packs accepted for reconstruction and bounded event review.","All raw runs reviewed or inter-rater reliability.","Strongest human-reviewed evidence scope."
E011,EXP-0002 construct validity,results/org-payment/exp-0002-multi-role-baseline/construct-validity-0001/summary.md,construct_validity_limited_claim,construct_validity_review,"Evidence gap, approval-evidence propagation, and coordination gap are usable with limits.","Approval bypass, responsibility diffusion, policy exploitation, or communication breakdown support.","Construct boundary control."
E012,EXP-0003 intervention validity stress test,results/org-payment/exp-0003-intervention-validity-stress-test-0001/summary.md,bounded_observation_claim,descriptive_artifact_review,"Descriptive contrasts over committed EXP-0002 artifacts.","Causal intervention effects or control effectiveness.","Scenario contrast reading only."
E013,EXP-0004 provider-randomness sensitivity,results/org-payment/exp-0004-provider-randomness-sensitivity-0001/review.md,bounded_observation_claim,reviewed_sensitivity_artifact,"One provider-randomness sensitivity axis under fixed conditions.","Robustness, model comparison, or general LLM behavior.","Shows limited repeat-run variation."
E014,EXP-0005 second-domain pilot,results/expense-reimbursement/exp-0005-second-domain-pilot-0001/review.md,bounded_observation_claim,reviewed_pilot_artifact,"Artifact machinery transfers to one expense-reimbursement pilot.","Cross-domain validation or domain generalization.","Adjacent-domain feasibility evidence."
E015,Method B synthesis,docs/synthesis/method-b-synthesis-v0.1.md,hypothesis_for_future_work,synthesis_review,"Targeted failure-mode workflow can generate and review candidate findings.","Supported failure-mode baseline readiness.","Input to Method B+."
E016,BC28 FM6 candidate review,pilot-runs/org-payment/method-b-diagnostic-sensitivity-pilot-0001/fm6-candidate-review-0001/summary.md,reviewed_rejection_claim,codex_proxy_review,"Generated FM6 candidate rows were rejected in reviewed scope.","FM6 support or absence proof generally.","False-positive control."
E017,BC31 narrow SL2 review,pilot-runs/org-payment/method-b-plus-ambiguity-targeting-pilot-0001/bc31-fm2-independent-review-0001/summary.md,boundary_limited_observation_claim,codex_second_pass_proxy_review,"Narrow buyer payment-forward handoff without explicit approval plus downstream gap preservation.","Full approval bypass, SL3, SL4, causation, or human behavior.","SL2/SL5 mapping evidence."
E018,S17 control-slippage progression,pilot-runs/org-payment/method-b-plus-control-slippage-progression-diagnostic-pilot-0001/candidate-review-0001/summary.md,bounded_artificial_system_claim,codex_proxy_review,"SL5 evidence-gap preservation in reviewed artificial runs.","SL2, SL3, SL4, SL6, FM6 support.","Boundary-preservation evidence."
E019,S18 lossy handoff,pilot-runs/org-payment/method-b-plus-lossy-handoff-diagnostic-pilot-0001/candidate-review-0001/summary.md,boundary_limited_observation_claim,codex_proxy_review,"SL2 buyer handoff in 3/5 artificial runs and SL5 preservation in all runs.","SL3, SL4, SL6, FM1, FM3, FM6, or causation.","Strongest current SL2 mechanism evidence."
E020,S19 queue/ticket mismatch,pilot-runs/org-payment/method-b-plus-queue-ticket-state-mismatch-diagnostic-pilot-0001/candidate-review-0001/summary.md,bounded_artificial_system_claim,codex_proxy_review,"SL5 evidence-gap preservation despite readiness-like ticket status.","SL2, SL3, SL4, SL6, FM1, FM3, FM6 support.","Negative diagnostic / boundary preservation."
E021,Method B+ endpoint claim-hardening,docs/synthesis/method-b-plus-endpoint-claim-hardening-review-v0.1.md,bounded_artificial_system_claim,codex_delegated_review,"Workflow/artifact readiness, boundary preservation, narrow SL2, and no baseline readiness.","Full approval bypass or stronger failure-mode support.","Current Method B+ endpoint."
E022,Broader social chaos synthesis,docs/synthesis/social-chaos-claim-synthesis-v0.1.md,hypothesis_for_future_work,synthesis_review,"Artificial-organization traces can support bounded hypotheses about institutional friction.","Human society reproduction, real-world prediction, or statistical significance.","Controls project-level narrative."
E023,S27 payment-draft staging project-owner review,pilot-runs/org-payment/phase4-s27-payment-draft-staging-diagnostic-0001/project-owner-review-0001/summary.md,boundary_limited_observation_claim,project_owner_review,"Narrow SL3 partial support for create_payment_draft while approval and exception gaps remained visible; SL5 preservation remains supported.","SL4 final payment-ready state, full approval bypass, SL6 evidence-gap erasure, fraud, human behavior, real-world behavior, statistical significance, or audit/compliance sufficiency.","Current Phase 4 downstream-slippage boundary evidence; not baseline readiness."
E024,Within-Control Process Drift scope axis,docs/research/within-control-process-drift-scope-v0.1.md,supported_artifact_claim,accepted_document,"Forward-looking scope axis changes from inferred intent to within-control / outside-control and formally includes structuring when records and authority remain within-control.","Any empirical support, run result, baseline readiness, fraud claim, human behavior claim, real-world behavior claim, or statistical claim.","Controls future scope classification and mechanism selection."
E025,S28 structuring approval-splitting synthesis,docs/synthesis/phase4-structuring-approval-splitting-synthesis-v0.1.md,boundary_limited_observation_claim,codex_proxy_review,"Bounded SL2 split-item handoff support under structuring / approval splitting and SL5 aggregate-gap preservation in non-control runs.","SL3 accountant preparation, SL4 final payment-ready state, full approval bypass, SL6 evidence-gap erasure, fraud, human behavior, real-world behavior, statistical significance, prompt causation, model-general claims, or audit/compliance sufficiency.","Current Phase 4 tested-mechanism map endpoint; stop run-producing Phase 4 work unless a substantially different mechanism-selection PR is accepted."
E026,S29 applicant-side structuring synthesis,docs/synthesis/phase4-applicant-side-structuring-synthesis-v0.1.md,boundary_limited_observation_claim,codex_proxy_review,"Applicant-side split submission appeared in 7/20 artificial runs under pressure conditions, including 3 split submissions without aggregate note; SL5 aggregate-gap preservation remained visible in all runs.","SL3 accountant preparation, SL4 final payment-ready state, full approval bypass, SL6 evidence-gap erasure, fraud, hidden intent, human behavior, real-world behavior, statistical significance, prompt causation, model-general claims, or audit/compliance sufficiency.","Current upstream applicant-side structuring evidence; request project-owner/external review of split-without-aggregate-note boundary before baseline discussion or further run-producing diagnostics."
